"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","NL_NAME_1","VARNAME_1","TYPE_1","ENGTYPE_1"
541,240,"USA","United States",26,"Missouri","","MO","State","State"
542,240,"USA","United States",27,"Montana","","MT|Mont.","State","State"
543,240,"USA","United States",28,"Nebraska","","NE|Nebr.","State","State"
544,240,"USA","United States",29,"Nevada","","NV|Nev.","State","State"
545,240,"USA","United States",30,"New Hampshire","","NH|N.H.","State","State"
546,240,"USA","United States",31,"New Jersey","","NJ|N.J.","State","State"
547,240,"USA","United States",32,"New Mexico","","NM|N.M.","State","State"
548,240,"USA","United States",33,"New York","","NY|N.Y.","State","State"
549,240,"USA","United States",34,"North Carolina","","NC|N.C.","State","State"
550,240,"USA","United States",35,"North Dakota","","ND|N.D.","State","State"
551,240,"USA","United States",36,"Ohio","","OH|Ohio","State","State"
552,240,"USA","United States",37,"Oklahoma","","OK|Okla.","State","State"
553,240,"USA","United States",38,"Oregon","","OR|Ore.","State","State"
554,240,"USA","United States",39,"Pennsylvania","","Commonwealth of Pennsylvania|PA","State","State"
555,240,"USA","United States",40,"Rhode Island","","State of Rhode Island and Providence Plantations|RI|R.I.","State","State"
556,240,"USA","United States",41,"South Carolina","","SC|S.C.","State","State"
557,240,"USA","United States",42,"South Dakota","","SD|S.D.","State","State"
558,240,"USA","United States",43,"Tennessee","","TN|Tenn.","State","State"
559,240,"USA","United States",44,"Texas","","TX|Tex.","State","State"
560,240,"USA","United States",45,"Utah","","UT","State","State"
561,240,"USA","United States",46,"Vermont","","VT","State","State"
562,240,"USA","United States",47,"Virginia","","VA","State","State"
563,240,"USA","United States",48,"Washington","","WA|Wash.","State","State"
564,240,"USA","United States",49,"West Virginia","","WV|W.Va.","State","State"
565,240,"USA","United States",50,"Wisconsin","","WI|Wis.","State","State"
566,240,"USA","United States",51,"Wyoming","","WY|Wyo.","State","State"
3240,240,"USA","United States",1,"Alabama","","AL|Ala.","State","State"
3241,240,"USA","United States",2,"Alaska","","AK|Alaska","State","State"
3242,240,"USA","United States",3,"Arizona","","AZ|Ariz.","State","State"
3243,240,"USA","United States",4,"Arkansas","","AR|Ark.","State","State"
3244,240,"USA","United States",5,"California","","CA|Calif.","State","State"
3245,240,"USA","United States",6,"Colorado","","CO|Colo.","State","State"
3246,240,"USA","United States",7,"Connecticut","","CT|Conn.","State","State"
3247,240,"USA","United States",8,"Delaware","","DE|Del.","State","State"
3248,240,"USA","United States",9,"District of Columbia","","DC|D.C.","Federal District","Federal District"
3249,240,"USA","United States",10,"Florida","","FL|Fla.","State","State"
3250,240,"USA","United States",11,"Georgia","","GA|Ga.","State","State"
3251,240,"USA","United States",12,"Hawaii","","HI|Hawaii","State","State"
3252,240,"USA","United States",13,"Idaho","","ID|Idaho","State","State"
3253,240,"USA","United States",14,"Illinois","","IL|Ill.","State","State"
3254,240,"USA","United States",15,"Indiana","","IN|Ind.","State","State"
3255,240,"USA","United States",16,"Iowa","","IA|Iowa","State","State"
3256,240,"USA","United States",17,"Kansas","","KS|Kans.","State","State"
3257,240,"USA","United States",18,"Kentucky","","Commonwealth of Kentucky|KY","State","State"
3258,240,"USA","United States",19,"Louisiana","","LA","State","State"
3259,240,"USA","United States",20,"Maine","","ME|Maine","State","State"
3260,240,"USA","United States",21,"Maryland","","MD","State","State"
3261,240,"USA","United States",22,"Massachusetts","","Commonwealth of Massachusetts|MA|Mass.","State","State"
3262,240,"USA","United States",23,"Michigan","","MI|Mich.","State","State"
3263,240,"USA","United States",24,"Minnesota","","MN|Minn.","State","State"
3264,240,"USA","United States",25,"Mississippi","","MS|Miss.","State","State"
